entry_id,node,action,old_index,new_index,old_file,old_line,old_code,new_file,new_line,new_code,desc_change,reason
entry-00176,entry_point,keep,,,packages/nodes-base/nodes/Code/Code.node.ts,206,"const code = this.getNodeParameter(codeParameterName, 0) as string;",packages/nodes-base/nodes/Code/Code.node.ts,206,"const code = this.getNodeParameter(codeParameterName, 0) as string;","no","按任务要求保留；该位置读取用户配置的 Python Code 节点代码，是外部可控脚本进入漏洞链路的输入边界。"
entry-00176,critical_operation,replace,,,packages/@n8n/task-runner-python/src/constants.py,126,"BLOCKED_ATTRIBUTES = {",packages/@n8n/task-runner-python/src/task_executor.py,213,"exec(compiled_code, globals)","yes","原始位置是静态 denylist 定义，属于补丁根因/防护配置，不是危险执行点；改为漏洞版本通过 AST 校验后实际执行用户 Python code object 的 exec 调用。"
entry-00176,trace,update_desc,trace[0],trace[0],packages/nodes-base/nodes/Code/Code.node.ts,206,"const code = this.getNodeParameter(codeParameterName, 0) as string;",packages/nodes-base/nodes/Code/Code.node.ts,206,"const code = this.getNodeParameter(codeParameterName, 0) as string;","yes","保留用户脚本进入点，描述收敛为 Python Code node 参数进入任务运行链路。"
entry-00176,trace,delete,trace[1],无,packages/nodes-base/nodes/Code/Code.node.ts,207,"const sandbox = new PythonTaskRunnerSandbox(code, nodeMode, workflowMode, this);",无,无,无,"yes","删除对象构造胶水节点；taskSettings.code 已能直接体现 code 被带入 Python runner 任务设置。"
entry-00176,trace,delete,trace[2],无,packages/nodes-base/nodes/Code/Code.node.ts,209,"return [await sandbox.runUsingIncomingItems()];",无,无,无,"yes","删除简单桥接调用；startJob 节点已覆盖进入 Task Runner 调度的关键控制流。"
entry-00176,trace,add,无,trace[1],无,无,无,packages/nodes-base/nodes/Code/PythonTaskRunnerSandbox.ts,50-52,"const taskSettings: Record<string, unknown> = { code: this.pythonCode, nodeMode: this.nodeMode,","yes","新增并保留 taskSettings 构造节点，明确用户脚本如何进入跨进程任务设置。"
entry-00176,trace,update_desc,trace[3],trace[2],packages/nodes-base/nodes/Code/PythonTaskRunnerSandbox.ts,62-65,"const executionResult = await this.executeFunctions.startJob<INodeExecutionData[]>('python', taskSettings, itemIndex,",packages/nodes-base/nodes/Code/PythonTaskRunnerSandbox.ts,62-65,"const executionResult = await this.executeFunctions.startJob<INodeExecutionData[]>('python', taskSettings, itemIndex,","yes","保留 startJob 跨层提交节点，说明 taskSettings.code 跨越节点层和 Python runner 层。"
entry-00176,trace,update_desc,trace[4],trace[3],packages/@n8n/task-runner-python/src/task_runner.py,321,"self.analyzer.validate(task_settings.code)",packages/@n8n/task-runner-python/src/task_runner.py,321,"self.analyzer.validate(task_settings.code)","yes","保留 AST 校验入口，说明校验通过后才进入执行子进程。"
entry-00176,trace,update_desc,trace[5],trace[4],packages/@n8n/task-runner-python/src/task_analyzer.py,63-69,"def visit_Attribute(self, node: ast.Attribute) -> None: ... if node.attr in BLOCKED_ATTRIBUTES:",packages/@n8n/task-runner-python/src/task_analyzer.py,63-69,"def visit_Attribute(self, node: ast.Attribute) -> None: ... if node.attr in BLOCKED_ATTRIBUTES:","yes","保留具体绕过检查点，说明 __objclass__ 未命中 BLOCKED_ATTRIBUTES 因而未产生违规。"
entry-00176,trace,delete,trace[6],无,packages/@n8n/task-runner-python/src/constants.py,126-135,"BLOCKED_ATTRIBUTES = { ...",无,无,无,"yes","删除静态列表作为 trace 末端；该列表是补丁根因但不是运行时数据流终点或危险执行点。"
entry-00176,trace,add,无,trace[5],无,无,无,packages/@n8n/task-runner-python/src/task_runner.py,323-328,"process, read_conn, write_conn = self.executor.create_process(code=task_settings.code, ...","yes","保留 AST 校验通过后创建执行子进程的调用节点，补全从校验到执行器的关键控制流。"
entry-00176,trace,delete,无,无,packages/@n8n/task-runner-python/src/task_executor.py,66-70,"fn = TaskExecutor._all_items if node_mode == \"all_items\" else TaskExecutor._per_item",无,无,无,"yes","删除 nodeMode 分派细节；默认 all-items 路径已由 critical_operation 和 review_notes 说明，trace 不必单列。"
entry-00176,trace,delete,无,无,packages/@n8n/task-runner-python/src/task_runner.py,335-339,"process=process, read_conn=read_conn, write_conn=write_conn, task_timeout=self.config.task_timeout, continue_on_fail=task_settings.continue_on_fail,",无,无,无,"yes","删除 execute_process 参数截面；该节点只是启动子进程的包装调用，对漏洞语义贡献较低。"
entry-00176,trace,add,无,trace[6],无,无,无,packages/@n8n/task-runner-python/src/task_executor.py,203-204,"wrapped_code = TaskExecutor._wrap_code(raw_code); compiled_code = compile(wrapped_code, EXECUTOR_ALL_ITEMS_FILENAME, \"exec\")","yes","保留用户代码包装和编译节点，说明 payload 如何成为 exec 的 compiled_code。"
entry-00176,trace,add,无,trace[7],无,无,无,packages/@n8n/task-runner-python/src/task_executor.py,213,"exec(compiled_code, globals)","yes","保留最终危险执行点，使 trace 末端与新的 critical_operation 对齐。"
