entry_id,verify,repo_url,commit,field_path,file,line,code,desc,reason,details
entry-00082,1,https://github.com/n8n-io/n8n,008cd8d08369ad188625fb5efaa6fa3707c1548e,trace[1],packages/workflow/src/expression.ts,205,		},此闭合括号位于 Expression 类内部某一条件分支结构的末尾，是控制流完成局部判断后向调用栈下游延续的切换点。随后执行路径在 Expression 类内部继续向前推进，从辅助性的类型处理逻辑过渡到负责驱动表达式求值的核心方法；在漏洞链路中，此节点充当从上游辅助逻辑向 resolveSimpleParameterValue 调用路径收敛的中间过渡。,multiple_matches,"candidate_count=4; candidates=[{""file"": "".bundlemonrc.json"", ""line"": 11, ""code_preview"": ""\t\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 18, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 28, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 30, ""code_preview"": ""}""}]"
entry-00103,0,https://github.com/n8n-io/n8n,57d6015f2ea0442c24e0449105325b7e36f066df,entry_point,packages/cli/src/webhooks/webhook-helpers.ts,615,		},webhook-helpers.ts 第 615 行是 streaming 分支代码块的结束边界，标志着 res 对象已被完整写入 runData.httpResponse 并将 didSendResponse 置为 true。此时响应对象携带的 content-type 值——包括任何首尾空白字符——已无条件进入后续处理流程，构成污染链路的起始入口；任何对该头部值的校验缺失均会在下游持续传播。,multiple_matches,"candidate_count=4; candidates=[{""file"": "".bundlemonrc.json"", ""line"": 11, ""code_preview"": ""\t\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 18, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 28, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 30, ""code_preview"": ""}""}]"
entry-00103,0,https://github.com/n8n-io/n8n,57d6015f2ea0442c24e0449105325b7e36f066df,trace[0],packages/cli/src/webhooks/webhook-helpers.ts,615,		},trace 链路的第 0 节点，以 webhook-helpers.ts 第 615 行的代码块闭合边界为锚点，代表 streaming 分支执行完毕后 runData 已持有 res 引用的起始状态。从此节点出发，调用栈向下游依次流经 setResponseHeaders() 与 isHtmlRenderedContentType()，是整条调用链的起始锚定点。,multiple_matches,"candidate_count=4; candidates=[{""file"": "".bundlemonrc.json"", ""line"": 11, ""code_preview"": ""\t\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 18, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 28, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 30, ""code_preview"": ""}""}]"
entry-00142,1,https://github.com/openclaw/openclaw,aa2eb48b9c0fe63aa7b8be6329869d3a2539c446,critical_operation,extensions/twitch/src/access-control.ts,68,    },allowFrom.includes(senderId) 判断为假后，控制流到达 allowFrom 校验块的闭合位置，但此处缺少显式拒绝返回语句，执行直接穿透到块外。这是漏洞的核心缺陷点：白名单校验在发送者未命中时未能终止授权流程，使后续兜底逻辑得以被到达。,multiple_matches,"candidate_count=7; candidates=[{""file"": "".github/workflows/auto-response.yml"", ""line"": 74, ""code_preview"": ""              }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 75, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 80, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 85, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 90, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 106, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 115, ""code_preview"": ""            }""}]"
entry-00142,1,https://github.com/openclaw/openclaw,aa2eb48b9c0fe63aa7b8be6329869d3a2539c446,trace[3],extensions/twitch/src/access-control.ts,68,    },从 allowFrom.includes 条件块流向该块末尾的闭合位置，是白名单校验路径在未命中情形下的执行终点。此处控制流退出内层 if 块，缺失的显式拒绝返回使执行继续向下穿透，整个 allowFrom 保护区域在此失效，为后续兜底逻辑的到达铺开了路径。,multiple_matches,"candidate_count=7; candidates=[{""file"": "".github/workflows/auto-response.yml"", ""line"": 74, ""code_preview"": ""              }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 75, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 80, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 85, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 90, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 106, ""code_preview"": ""            }""}, {""file"": "".github/workflows/auto-response.yml"", ""line"": 115, ""code_preview"": ""            }""}]"
entry-00164,1,https://github.com/openclaw/openclaw,3b56a6252bbc4dcf3d3c68a5e3cbb0e1162e58a9,trace[0],src/browser/routes/basic.ts,7,export function registerBrowserBasicRoutes(...) {,registerBrowserBasicRoutes 在桥接服务器启动阶段被上游初始化逻辑调用，负责向 app 实例挂载 GET /profiles 路由处理器；这里是调用栈从服务器初始化层流入路由注册层的起点。由于外层调用方从未传入认证令牌，认证中间件在此之前已经缺失，随后注册的每条路由均在无保护状态下暴露，为漏洞链路中后续所有未授权访问奠定了基础。,no_match,candidate_count=0; candidates=[]
entry-00185,0,https://github.com/n8n-io/n8n,538181cbe32a92616df5e00d7ffaf4d568557f4f,critical_operation,packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts,48,},resolvePath() 函数的闭合括号标志着路径规范化流程在此处完成并向调用方返回结果。该函数仅负责路径解析与规范化，不对 .git 目录做任何拦截；因此当 isFilePathBlocked() 已放行目标路径后，resolvePath() 在此处将规范化完毕的 .git/config 绝对路径无障碍地输送至 writeContentToFile，成为恶意内容写入磁盘的最终通道。,multiple_matches,"candidate_count=4; candidates=[{""file"": "".bundlemonrc.json"", ""line"": 11, ""code_preview"": ""\t\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 18, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 28, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 30, ""code_preview"": ""}""}]"
entry-00185,0,https://github.com/n8n-io/n8n,538181cbe32a92616df5e00d7ffaf4d568557f4f,trace[3],packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts,48,},承接 isFilePathBlocked() 返回 false 的放行信号，resolvePath() 完成路径规范化并在此闭合括号处退出，将已解析的 .git/config 绝对路径作为返回值交回 writeContentToFile 的调用上下文。至此路径既已规范化又未受任何安全过滤，随即被直接写入磁盘，完成恶意 Git 配置的植入。,multiple_matches,"candidate_count=4; candidates=[{""file"": "".bundlemonrc.json"", ""line"": 11, ""code_preview"": ""\t\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 18, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 28, ""code_preview"": ""\t\t}""}, {""file"": "".bundlemonrc.json"", ""line"": 30, ""code_preview"": ""}""}]"
entry-00190,1,https://github.com/n8n-io/n8n,3af9095245be3aaad6bc16622f379f79c6c6068f,trace[2],packages/cli/src/webhooks/webhook-request-handler.ts,167,) {,sendLegacyResponse 函数签名的闭括号处为函数体入口，函数在此正式接收来自 helpers 层的全部调用参数，其中包括源自工作流节点配置的 responseHeader。在调用栈下游，函数体将对 responseHeader 进行存在性检查，并据此决定是否触发 setResponseHeaders 将头键值对写入 Express 响应。,multiple_matches,"candidate_count=3; candidates=[{""file"": "".github/scripts/cleanup-ghcr-images.mjs"", ""line"": 133, ""code_preview"": ""\t\t\t\t) {""}, {""file"": ""packages/@n8n/ai-utilities/README.md"", ""line"": 155, ""code_preview"": ""  ) {""}, {""file"": ""packages/@n8n/ai-utilities/README.md"", ""line"": 370, ""code_preview"": ""  ) {""}]"
entry-00191,1,https://github.com/n8n-io/n8n,3af9095245be3aaad6bc16622f379f79c6c6068f,trace[1],packages/nodes-base/nodes/Form/utils/utils.ts,135,		},随后，hiddenField 条件处理块在此闭合，将从 fieldLabel 赋值路径归并至 return field 语句；从 caller 流向 callee 的视角看，此步骤是 hiddenField 处理单元的内部出口边界。html 字段的宽松 sanitizeHtml 调用与 field.html 赋值已在上游 130 行完成；该闭合符在 map 回调内将两类字段的处理路径在代码结构上显式分隔，标志着字段类型路由阶段的局部终结。,multiple_matches,"candidate_count=2; candidates=[{""file"": "".claude/README.md"", ""line"": 30, ""code_preview"": ""  }""}, {""file"": "".claude/README.md"", ""line"": 31, ""code_preview"": ""}""}]"
