entry_id,node,action,old_index,new_index,old_file,old_line,old_code,new_file,new_line,new_code,desc_change,reason
entry-00100,entry_point,keep,,,packages/workflow/src/expression.ts,368,"resolveSimpleParameterValue(",packages/workflow/src/expression.ts,368,"resolveSimpleParameterValue(","no","按任务固定要求保留；该位置接收用户在 workflow 节点参数中配置的 parameterValue，能体现外部可控表达式进入漏洞链路。"
entry-00100,critical_operation,replace,,,packages/workflow/src/expression-sandboxing.ts,330-336,"export const sanitizer = (value: unknown): unknown => { ... }",packages/workflow/src/expression-evaluator-proxy.ts,20,"return evaluator(expr, data);","yes","原始位置 sanitizer 是防护函数定义，不是 RCE/sandbox escape 的执行点；改为 evaluateExpression 中调用绑定到 Tournament.execute 的 evaluator 的语句。"
entry-00100,trace,update_desc,trace[0],trace[0],packages/workflow/src/expression.ts,368-377,"resolveSimpleParameterValue(parameterValue: NodeParameterValue, ...)",packages/workflow/src/expression.ts,368-377,"resolveSimpleParameterValue(parameterValue: NodeParameterValue, ...)","yes","保留原始 parameterValue 进入表达式求值流程的入口截面，仅收敛描述。"
entry-00100,trace,delete,trace[1],无,packages/workflow/src/expression.ts,434-438,"Object.defineProperty(data, sanitizerName, { value: sanitizer, writable: false, configurable: false })",无,无,无,"yes","删除原始 Object.defineProperty 防护装配节点；它解释 __sanitize 背景，但不是必要数据流/控制流节点，也不是执行 sink。"
entry-00100,trace,update_desc,trace[2],trace[3],packages/workflow/src/expression.ts,452-453,"const extendedExpression = extendSyntax(parameterValue); const returnValue = this.renderExpression(extendedExpression, data);",packages/workflow/src/expression.ts,452-453,"const extendedExpression = extendSyntax(parameterValue); const returnValue = this.renderExpression(extendedExpression, data);","yes","保留原始 extendSyntax 到 renderExpression 的关键调用桥，但因新增前置检查节点，修复后位于 trace[3]；描述改为避免把 sanitizer 绑定误写成最终执行点。"
entry-00100,trace,replace,trace[3],trace[5],packages/workflow/src/expression-sandboxing.ts,11-12,"export const sanitizerName = '__sanitize'; const sanitizerIdentifier = b.identifier(sanitizerName);",packages/workflow/src/expression-sandboxing.ts,244-245,"export const PrototypeSanitizer: ASTAfterHook = (ast, dataNode) => { astVisit(ast, {","yes","原始 sanitizerName 是静态常量声明，不能解释运行时链路；改为 PrototypeSanitizer 入口，体现 evaluator 内部 AST hook 的修复缺口。"
entry-00100,trace,replace,trace[4],trace[6],packages/workflow/src/expression-sandboxing.ts,330-336,"export const sanitizer = (value: unknown): unknown => { ... }",packages/workflow/src/expression-evaluator-proxy.ts,20,"return evaluator(expr, data);","yes","原始 sanitizer 定义是防护函数且与 critical_operation 重复；改为最终 evaluator 调用点，使 trace 末端与新的 critical_operation 对齐。"
entry-00100,trace,add,无,trace[1],无,无,无,packages/workflow/src/expression.ts,393,"parameterValue = parameterValue.substr(1);","yes","新增表达式前缀 '=' 去除节点，说明用户控制的表达式主体如何从参数值继续传递。"
entry-00100,trace,add,无,trace[2],无,无,无,packages/workflow/src/expression.ts,442-449,"const constructorValidation = new RegExp(/\\.\\s*constructor/gm); if (parameterValue.match(constructorValidation)) { ... }","yes","新增 .constructor 正则检查节点，说明漏洞版本前置文本检查只覆盖显式成员访问，无法覆盖 with 作用域解析和动态属性组合等绕过。"
entry-00100,trace,add,无,trace[4],无,无,无,packages/workflow/src/expression.ts,472,"return evaluateExpression(expression, data);","yes","新增 renderExpression 到 evaluateExpression 的运行时调用节点，补全从参数解析到 evaluator sink 的调用链。"
